flow_duration,total_fwd_pkts,total_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_max,pkt_len_mean,pkt_len_std,ack_flag_cnt,syn_flag_cnt,label
950719.2349792751,72,61,911.401230601871,17.833310114143647,115.9809360216822,710.5033822701661,13.348344445560873,148.578781620675,65123.7584475904,56.505937869197545,7222.767734945579,93855.88537448486,40.59186203917089,496.1057796456088,0,1,BENIGN
7165.598589195434,89,49,806.1710039772481,15.994438868610219,75.46590404234772,1461.6830575085303,9.31085361721217,108.8608902449438,61876.76233237542,382.523745068036,9832.476549209814,46681.62169586551,693.5547091196037,340.15376929388987,0,0,BENIGN
942207.5355092842,14,9,63.31072824151272,9.235753024885959,223.1793541797689,1037.564737485169,24.399866311304837,673.2281329194849,17419.12888542643,391.12150151248346,1830.5385170027428,75538.58741766207,363.11846461334596,103.9708314340944,1,1,BENIGN
842300.546117539,44,34,616.919344562649,37.066354631751764,592.7267168508798,516.7495224565196,22.817758976215977,435.834037619626,96121.08523249997,844.5493952932836,7475.727900272434,53973.81631758408,485.93088590452464,482.627653632069,1,1,BENIGN
296343.878353512,45,65,62.82915384214314,16.936059228254784,340.109953813433,468.4927350883357,0.5631929086033782,191.12022710749193,71163.06107959013,790.1965229771525,6063.540148062304,92630.82484254976,534.8185393814778,457.4798377718904,0,1,BENIGN
95500.57547876227,23,62,514.7676501590506,29.18424713352256,524.543678229962,1335.3306041614367,18.888597006477973,130.8916269131093,71353.1542435772,760.8089701120358,5617.159203719268,77099.00832365656,415.28465323693695,261.36641469099703,0,1,BENIGN
107980.63785060513,63,96,969.1592004451194,12.574239243053068,426.51372528517413,1365.0470519320959,9.971689165954999,351.8910215070786,75579.55874045056,228.8752856750733,779.029299189642,28982.247776847664,162.52817831304336,464.84882617128653,0,1,BENIGN
871473.4441286989,28,44,648.1045238907346,35.33121035675473,286.5022159640082,218.24841386298309,14.251913523078997,729.189615574773,27286.01171352507,647.7253515293082,15.198566183205031,35263.35994485356,271.6337562001021,82.32792657147087,0,0,BENIGN
692466.7892869813,44,24,1416.6481677122779,12.92811728083021,434.2808725249582,1066.4076799869597,14.54518409517176,778.5543828679301,96248.48476471691,251.8571175957816,4977.51257386493,30094.822198578797,256.47877572687537,18.443473677266397,0,1,BENIGN
51573.60337486435,96,97,966.1529632639911,27.22821806219067,443.5102833210237,693.7634202767138,22.11572356285312,490.4495101483391,8177.247300638253,369.71749061579834,2429.1777833914844,80315.94424042579,397.4284821789892,491.7115704474215,1,0,BENIGN
